 0.00000000e+00 -1.81898940e-12 
 1.00000000e-01 -2.06412665e-12 
 2.00000000e-01 -5.73319170e-12 
 3.00000000e-01 -6.04130079e-11 
 4.00000000e-01 -8.71142269e-10 
 5.00000000e-01 -1.26505411e-08 
 6.00000000e-01 -1.71602482e-07 
 7.00000000e-01 -1.86647623e-06 
 8.00000000e-01 -1.24066349e-05 
 9.00000000e-01 -4.34221079e-05 
 1.00000000e+00 -9.21273058e-05 
 1.10000000e+00 -1.47353269e-04 
 1.20000000e+00 -2.03789039e-04 
 1.30000000e+00 -2.60196340e-04 
 1.40000000e+00 -3.16362283e-04 
 1.50000000e+00 -3.72224932e-04 
 1.60000000e+00 -4.27732120e-04 
 1.70000000e+00 -4.82834524e-04 
 1.80000000e+00 -5.37490340e-04 
